Judge,Year,Court
Hon. Leslie M. Osborn,2010,Buckingham Circuit Court
Hon. W. Allan Sharrett~*,2009,Sussex Circuit Court
Hon. Samuel E. Campbell~,2009,Sussex Circuit Court
Hon. Harry T. Taliaferro III~*,2007,Westmoreland Circuit Court
Hon. George Mason III~,2007,Westmoreland Circuit Court
Hon. John Richard Alderman,2007,Westmoreland Circuit Court
Hon. J. Martin Bass,2007,Westmoreland Circuit Court
Hon. David H. Beck,2007,Westmoreland Circuit Court
Hon. Horace A. Revercomb III,2007,Westmoreland Circuit Court
Hon. John W. Scott Jr.,2007,Westmoreland Circuit Court
Hon. Gordon F. Willis,2007,Westmoreland Circuit Court
Hon. Theodore J. Markow~*,2005,Richmond Circuit Court
Hon. Bradley B. Cavedo~,2005,Richmond Circuit Court
Hon. Melvin R. Hughes Jr.~,2005,Richmond Circuit Court
Hon. Randall G. Johnson~,2005,Richmond Circuit Court
Hon. Beverly W. Snukals~,2005,Richmond Circuit Court
Hon. Margaret Poles Spencer~,2005,Richmond Circuit Court
Hon. Walter W. Stout III~,2005,Richmond Circuit Court
Hon. Richard D. Taylor Jr.,2005,Richmond Circuit Court
"Hon. R. Bruce Long, Chief Judge",2012,Williamsburg/James City County Circuit Court
Hon. Richard Y. AtLee Jr.,2012,Williamsburg/James City County Circuit Court
Hon. Thomas B. Hoover,2012,Williamsburg/James City County Circuit Court
"Hon. C. Randall Lowe, Chief Judge",2012,Bristol Circuit Court
Hon. Isaac St. C. Freeman,2012,Bristol Circuit Court
Hon. Sage B. Johnson,2012,Bristol Circuit Court
Hon. Colin R. Gibb~,2005,Pulaski Circuit Court
Hon. Ray Wilson Grubbs*,2005,Pulaski Circuit Court
Hon. J. Colin Campbell Sr.,2005,Pulaski Circuit Court
Hon. Brett L. Geisler,2005,Pulaski Circuit Court
Hon. Robert M. D. Turk,2005,Pulaski Circuit Court
"Hon. Josiah T. Showalter Jr., Presiding Judge",2011,Wythe Circuit Court
"Hon. Robert M. D. Turk, Chief Judge",2011,Wythe Circuit Court
Hon. Brett L. Geisler,2011,Wythe Circuit Court
Hon. Colin R. Gibb,2011,Wythe Circuit Court
Hon. John J. McGrath Jr.~*,2005,Page Circuit Court
Hon. Dennis Lee Hupp,2005,Page Circuit Court
Hon. James V. Lane,2005,Page Circuit Court
Hon. John R. Prosser,2005,Page Circuit Court
Hon. John E. Wetsel Jr.,2005,Page Circuit Court
Hon. Charles J. Strauss~,2005,Pittsylvania Circuit Court
Hon. William N. Alexander II*,2005,Pittsylvania Circuit Court
Hon. David A. Melesco,2005,Pittsylvania Circuit Court
Hon. Joseph W. Milam Jr.,2005,Pittsylvania Circuit Court
Hon. Harry T. Taliaferro III~,2005,Northumberland Circuit Court
Hon. Ann Hunter Simpson*,2005,Northumberland Circuit Court
Hon. John Richard Alderman,2005,Northumberland Circuit Court
Hon. J. Martin Bass,2005,Northumberland Circuit Court
Hon. H. Harrison Braxton Jr.,2005,Northumberland Circuit Court
Hon. George Mason III,2005,Northumberland Circuit Court
Hon. Horace A. Revercomb III,2005,Northumberland Circuit Court
Hon. John W. Scott Jr.,2005,Northumberland Circuit Court
"Hon. Joel C. Cunningham, Presiding Judge",2011,Buckingham Circuit Court
Hon. Leslie M. Osborn,2011,Buckingham Circuit Court
Hon. Richard S. Blanton~,2005,Prince Edward Circuit Court
Hon. William L. Wellons*,2005,Prince Edward Circuit Court
Hon. Leslie M. Osborn,2005,Prince Edward Circuit Court
"Hon. Cheryl V. Higgins, Presiding Judge",2013,Albemarle Circuit Court
"Hon. Daniel R. Bouton, Chief Judge",2013,Albemarle Circuit Court
Hon. Edward L. Hogshire,2013,Albemarle Circuit Court
Hon. Timothy K. Sanner,2013,Albemarle Circuit Court
Hon. Susan L. Whitlock,2013,Albemarle Circuit Court
"Hon. W. Allan Sharrett, Presiding Judge, Chief Judge",2010,Sussex Circuit Court
"Hon. Samuel E. Campbell, Presiding Judge",2010,Sussex Circuit Court
Hon. C. Peter Tench~*,2005,Newport News Circuit Court
Hon. H. Vincent Conway Jr.~,2005,Newport News Circuit Court
Hon. Timothy S. Fisher~,2005,Newport News Circuit Court
Hon. Aundria Deloris Foster~,2005,Newport News Circuit Court
Hon. David F. Pugh~,2005,Newport News Circuit Court
"Hon. R. Bruce Long, Chief Judge",2013,Williamsburg/James City County Circuit Court
Hon. Richard Y. AtLee Jr.,2013,Williamsburg/James City County Circuit Court
Hon. Thomas B. Hoover,2013,Williamsburg/James City County Circuit Court
Hon. Michael E. McGinty,2013,Williamsburg/James City County Circuit Court
"Hon. James F. D'Alton Jr., Chief Judge",2012,Amelia Circuit Court
Hon. Pamela S. Baskervill,2012,Amelia Circuit Court
Hon. Paul W. Cella,2012,Amelia Circuit Court
"Hon. C. Randall Lowe, Chief Judge",2013,Bristol Circuit Court
Hon. Sage B. Johnson,2013,Bristol Circuit Court
Hon. Deanis L. Simmons,2013,Bristol Circuit Court
Hon. John J. McGrath Jr.~*,2006,Page Circuit Court
Hon. Dennis Lee Hupp,2006,Page Circuit Court
Hon. James V. Lane,2006,Page Circuit Court
Hon. John R. Prosser,2006,Page Circuit Court
Hon. John E. Wetsel Jr.,2006,Page Circuit Court
Hon. Walter W. Stout III~*,2006,Richmond Circuit Court
Hon. Bradley B. Cavedo~,2006,Richmond Circuit Court
Hon. Melvin R. Hughes Jr.~,2006,Richmond Circuit Court
Hon. C. N. Jenkins Jr.~,2006,Richmond Circuit Court
