,Court,Last Hearing Date,Court ID
1593,Amherst,07/27/2020,009C
1594,Amherst,11/02/2020,009C
1595,Amherst,02/18/2020,009C
1596,Amherst,04/17/2020,009C
1600,Amherst,09/10/2020,009C
1602,Amherst,04/11/2020,009C
1605,Amherst,01/21/2020,009C
1609,Amherst,10/07/2020,009C
1610,Amherst,08/31/2020,009C
1613,Amherst,06/24/2020,009C
1614,Amherst,02/21/2020,009C
1615,Amherst,07/30/2020,009C
1616,Amherst,04/07/2020,009C
1618,Amherst,03/02/2020,009C
1624,Amherst,05/21/2020,009C
1626,Amherst,05/14/2020,009C
1631,Amherst,01/27/2020,009C
1632,Amherst,01/31/2020,009C
1714,Amherst,05/04/2020,009C
1715,Amherst,10/27/2020,009C
1749,Amherst,12/16/2020,009C
1750,Amherst,06/01/2020,009C
1751,Amherst,12/01/2020,009C
1752,Amherst,09/03/2020,009C
1753,Amherst,02/24/2020,009C
1755,Amherst,12/07/2020,009C
1760,Amherst,02/12/2020,009C
1761,Amherst,01/08/2020,009C
1762,Amherst,02/26/2020,009C
1763,Amherst,04/15/2020,009C
1775,Amherst,05/07/2020,009C
1776,Amherst,12/21/2020,009C
1778,Amherst,10/29/2020,009C
1788,Amherst,02/10/2020,009C
1790,Amherst,02/03/2020,009C
1803,Amherst,07/23/2020,009C
1808,Amherst,12/02/2020,009C
1809,Amherst,09/29/2020,009C
1813,Amherst,01/15/2020,009C
1823,Amherst,05/01/2020,009C
1829,Amherst,10/26/2020,009C
1832,Amherst,08/14/2020,009C
1834,Amherst,04/01/2020,009C
1835,Amherst,04/20/2020,009C
1841,Amherst,10/19/2020,009C
1846,Amherst,06/11/2020,009C
1853,Amherst,06/23/2020,009C
1865,Amherst,05/12/2020,009C
1867,Amherst,10/13/2020,009C
1875,Amherst,11/23/2020,009C
1877,Amherst,06/17/2020,009C
1880,Amherst,06/18/2020,009C
1890,Amherst,11/16/2020,009C
1892,Amherst,07/13/2020,009C
1894,Amherst,03/10/2020,009C
1916,Amherst,09/08/2020,009C
1925,Amherst,02/11/2020,009C
1926,Amherst,08/26/2020,009C
1933,Amherst,01/28/2020,009C
1937,Amherst,03/11/2020,009C
1954,Amherst,05/08/2020,009C
1957,Amherst,08/03/2020,009C
1961,Amherst,01/07/2020,009C
1962,Amherst,05/18/2020,009C
1963,Amherst,04/21/2020,009C
1973,Amherst,04/09/2020,009C
1981,Amherst,01/30/2020,009C
1985,Amherst,08/11/2020,009C
1987,Amherst,02/28/2020,009C
1997,Amherst,12/08/2020,009C
2015,Amherst,04/22/2020,009C
2018,Amherst,03/16/2020,009C
2021,Amherst,10/28/2020,009C
2024,Amherst,05/27/2020,009C
2037,Amherst,11/04/2020,009C
2038,Amherst,06/25/2020,009C
2040,Amherst,09/02/2020,009C
2044,Amherst,11/24/2020,009C
2047,Amherst,07/07/2020,009C
2052,Amherst,05/06/2020,009C
2053,Amherst,10/21/2020,009C
2077,Amherst,02/20/2020,009C
2078,Amherst,05/11/2020,009C
2088,Amherst,06/09/2020,009C
2098,Amherst,02/13/2020,009C
2109,Amherst,03/25/2020,009C
2110,Amherst,06/22/2020,009C
2114,Amherst,05/13/2020,009C
2116,Amherst,04/08/2020,009C
