Judge Full Name,Year,Court Name,Judge
Stacey W Moreau ,2017,Franklin,SWM
Joseph W Milam ,2017,Franklin,JWM
Clyde H Perdue ,2017,Franklin,CHP
James J Reynolds,2017,Franklin,JJR
Scarlet B Ratcliffe,2003,Giles,SBR
Colin R Gibb,2003,Giles,CRG
Ray Wilson Grubbs,2003,Giles,RWG
J Colin Campbell Sr,2003,Giles,JCCS
Brett L Geisler,2003,Giles,BLG
Robert M D Turk,2003,Giles,RMDT
Annie L Williams,2002,Dinwiddie,ALW
Thomas  Warren,2002,Dinwiddie,TW
Pamela S Baskervill,2002,Dinwiddie,PSB
James F DAlton ,2002,Dinwiddie,JFD
Alice Hall,2003,Franklin,AH
William N Alexander ,2003,Franklin,WNA
Joseph W Milam ,2003,Franklin,JWM
Charles J Strauss,2003,Franklin,CJS
Josiah T Showalter  ,2018,Giles,JTS
Bradley W Finch,2018,Giles,BWF
Brett L Geisler,2018,Giles,BLG
H Lee Harrell,2018,Giles,HLH
Marcus H Long ,2018,Giles,MHL
Robert M D Turk,2018,Giles,RMDT
Stacey W Moreau ,2018,Franklin,SWM
Joseph W Milam ,2018,Franklin,JWM
Clyde H Perdue ,2018,Franklin,CHP
James J Reynolds,2018,Franklin,JJR
Scarlet B Ratcliffe,2003,Giles,SBR
Colin R Gibb,2003,Giles,CRG
Robert M D Turk,2003,Giles,RMDT
J Colin Campbell Sr,2003,Giles,JCCS
Ray Wilson Grubbs,2003,Giles,RWG
Duane E Mink,2003,Giles,DEM
Annie L Williams,2002,Dinwiddie,ALW
Thomas  Warren,2002,Dinwiddie,TW
Pamela S Baskervill,2002,Dinwiddie,PSB
James F DAlton ,2002,Dinwiddie,JFD
Paul W Cella ,2018,Dinwiddie,PWC
Dennis M Martin Sr,2018,Dinwiddie,DMMS
Joseph M Teefey ,2018,Dinwiddie,JMT
Alice Hall,2002,Franklin,AH
William N Alexander ,2002,Franklin,WNA
Joseph W Milam ,2002,Franklin,JWM
Charles J Strauss,2002,Franklin,CJS
Josiah T Showalter  ,2019,Giles,JTS
Bradley W Finch,2019,Giles,BWF
Brett L Geisler,2019,Giles,BLG
H Lee Harrell,2019,Giles,HLH
Marcus H Long ,2019,Giles,MHL
Robert M D Turk,2019,Giles,RMDT
Clyde H Perdue  ,2019,Franklin,CHP
James J Reynolds ,2019,Franklin,JJR
Joseph W Milam ,2019,Franklin,JWM
Stacey W Moreau,2019,Franklin,SWM
Annie L Williams,2002,Dinwiddie,ALW
Thomas  Warren,2002,Dinwiddie,TW
Pamela S Baskervill,2002,Dinwiddie,PSB
James F DAlton ,2002,Dinwiddie,JFD
Scarlet B Ratcliffe,2002,Giles,SBR
Colin R Gibb,2002,Giles,CRG
Robert M D Turk,2002,Giles,RMDT
J Colin Campbell Sr,2002,Giles,JCCS
Ray Wilson Grubbs,2002,Giles,RWG
Duane E Mink,2002,Giles,DEM
Paul W Cella ,2019,Dinwiddie,PWC
Dennis M Martin Sr,2019,Dinwiddie,DMMS
Joseph M Teefey ,2019,Dinwiddie,JMT
Clyde H Perdue  ,2020,Franklin,CHP
James J Reynolds ,2020,Franklin,JJR
Joseph W Milam ,2020,Franklin,JWM
Stacey W Moreau,2020,Franklin,SWM
Marcus H Long  ,2020,Giles,MHL
Bradley W Finch,2020,Giles,BWF
Brett L Geisler,2020,Giles,BLG
Hugh Lee Harrell,2020,Giles,HLH
Josiah T Showalter ,2020,Giles,JTS
Robert M D Turk,2020,Giles,RMDT
Alice Hall,2002,Franklin,AH
William N Alexander ,2002,Franklin,WNA
Joseph W Milam ,2002,Franklin,JWM
Charles J Strauss,2002,Franklin,CJS
Annie L Williams,2002,Dinwiddie,ALW
Thomas  Warren,2002,Dinwiddie,TW
Pamela S Baskervill,2002,Dinwiddie,PSB
James F DAlton ,2002,Dinwiddie,JFD
Scarlet B Ratcliffe,2002,Giles,SBR
Colin R Gibb,2002,Giles,CRG
Robert M D Turk,2002,Giles,RMDT
J Colin Campbell Sr,2002,Giles,JCCS
Ray Wilson Grubbs,2002,Giles,RWG
Duane E Mink,2002,Giles,DEM
Paul W Cella ,2020,Dinwiddie,PWC
Dennis M Martin,2020,Dinwiddie,DMM
Joseph M Teefey ,2020,Dinwiddie,JMT
James J Reynolds ,2021,Franklin,JJR
Timothy W Allen,2021,Franklin,TWA
Joseph W Milam ,2021,Franklin,JWM
Stacey W Moreau,2021,Franklin,SWM
Alice Hall,2002,Franklin,AH
William N Alexander ,2002,Franklin,WNA
Joseph W Milam ,2002,Franklin,JWM
Charles J Strauss,2002,Franklin,CJS
Annie L Williams,2002,Dinwiddie,ALW
Thomas  Warren,2002,Dinwiddie,TW
Pamela S Baskervill,2002,Dinwiddie,PSB
James F DAlton ,2002,Dinwiddie,JFD
Scarlet B Ratcliffe,2002,Giles,SBR
Colin R Gibb,2002,Giles,CRG
Robert M D Turk,2002,Giles,RMDT
J Colin Campbell Sr,2002,Giles,JCCS
Ray Wilson Grubbs,2002,Giles,RWG
Duane E Mink,2002,Giles,DEM
Annie L Williams,2002,Dinwiddie,ALW
Thomas  Warren,2002,Dinwiddie,TW
Pamela S Baskervill,2002,Dinwiddie,PSB
James F DAlton ,2002,Dinwiddie,JFD
Scarlet B Ratcliffe,2002,Giles,SBR
Colin R Gibb,2002,Giles,CRG
Robert M D Turk,2002,Giles,RMDT
J Colin Campbell Sr,2002,Giles,JCCS
Ray Wilson Grubbs,2002,Giles,RWG
Duane E Mink,2002,Giles,DEM
Alice Hall,2002,Franklin,AH
William N Alexander ,2002,Franklin,WNA
Joseph W Milam ,2002,Franklin,JWM
Charles J Strauss,2002,Franklin,CJS
Annie L Williams,2002,Dinwiddie,ALW
Thomas  Warren,2002,Dinwiddie,TW
Pamela S Baskervill,2002,Dinwiddie,PSB
James F DAlton ,2002,Dinwiddie,JFD
Scarlet B Ratcliffe,2002,Giles,SBR
Colin R Gibb,2002,Giles,CRG
Robert M D Turk,2002,Giles,RMDT
J Colin Campbell Sr,2002,Giles,JCCS
Ray Wilson Grubbs,2002,Giles,RWG
Duane E Mink,2002,Giles,DEM
Alice Hall,2002,Franklin,AH
William N Alexander ,2002,Franklin,WNA
Joseph W Milam ,2002,Franklin,JWM
Charles J Strauss,2002,Franklin,CJS
Annie L Williams,2002,Dinwiddie,ALW
Thomas  Warren,2002,Dinwiddie,TW
Pamela S Baskervill,2002,Dinwiddie,PSB
James F DAlton ,2002,Dinwiddie,JFD
Scarlet B Ratcliffe,2002,Giles,SBR
Colin R Gibb,2002,Giles,CRG
Robert M D Turk,2002,Giles,RMDT
J Colin Campbell Sr,2002,Giles,JCCS
Ray Wilson Grubbs,2002,Giles,RWG
Duane E Mink,2002,Giles,DEM
Alice Hall,2002,Franklin,AH
William N Alexander ,2002,Franklin,WNA
Joseph W Milam ,2002,Franklin,JWM
Charles J Strauss,2002,Franklin,CJS
Annie L Williams,2002,Dinwiddie,ALW
Thomas  Warren,2002,Dinwiddie,TW
Pamela S Baskervill,2002,Dinwiddie,PSB
James F DAlton ,2002,Dinwiddie,JFD
Alice Hall,2002,Franklin,AH
William N Alexander ,2002,Franklin,WNA
Joseph W Milam ,2002,Franklin,JWM
Charles J Strauss,2002,Franklin,CJS
Scarlet B Ratcliffe,2002,Giles,SBR
Colin R Gibb,2002,Giles,CRG
Robert M D Turk,2002,Giles,RMDT
J Colin Campbell Sr,2002,Giles,JCCS
Ray Wilson Grubbs,2002,Giles,RWG
Duane E Mink,2002,Giles,DEM
Annie L Williams,2002,Dinwiddie,ALW
Thomas  Warren,2002,Dinwiddie,TW
Pamela S Baskervill,2002,Dinwiddie,PSB
James F DAlton ,2002,Dinwiddie,JFD
Alice Hall,2002,Franklin,AH
William N Alexander ,2002,Franklin,WNA
Joseph W Milam ,2002,Franklin,JWM
Charles J Strauss,2002,Franklin,CJS
T  Warren,2002,Dinwiddie,TW
O A Pollard ,2002,Dinwiddie,OAP
J F DAlton ,2002,Dinwiddie,JFD
Alice Hall,2002,Franklin,AH
William N Alexander ,2002,Franklin,WNA
Joseph W Milam ,2002,Franklin,JWM
Charles J Strauss,2002,Franklin,CJS
T  Warren,2001,Dinwiddie,TW
O A Pollard ,2001,Dinwiddie,OAP
J F DAlton ,2001,Dinwiddie,JFD
T  Warren,2001,Dinwiddie,TW
O A Pollard ,2001,Dinwiddie,OAP
J F DAlton ,2001,Dinwiddie,JFD
Alice Hall,2002,Franklin,AH
William N Alexander ,2002,Franklin,WNA
Joseph W Milam ,2002,Franklin,JWM
Charles J Strauss,2002,Franklin,CJS
T  Warren,2001,Dinwiddie,TW
O A Pollard ,2001,Dinwiddie,OAP
J F DAlton ,2001,Dinwiddie,JFD
T  Warren,2001,Dinwiddie,TW
O A Pollard ,2001,Dinwiddie,OAP
J F DAlton ,2001,Dinwiddie,JFD
Scarlet B Ratcliffe,2002,Giles,SBR
Colin R Gibb,2002,Giles,CRG
Robert M D Turk,2002,Giles,RMDT
J Colin Campbell Sr,2002,Giles,JCCS
Ray Wilson Grubbs,2002,Giles,RWG
Duane E Mink,2002,Giles,DEM
T  Warren,2001,Dinwiddie,TW
O A Pollard ,2001,Dinwiddie,OAP
J F DAlton ,2001,Dinwiddie,JFD
Scarlet B Ratcliffe,2002,Giles,SBR
Colin R Gibb,2002,Giles,CRG
Robert M D Turk,2002,Giles,RMDT
J Colin Campbell Sr,2002,Giles,JCCS
Ray Wilson Grubbs,2002,Giles,RWG
Duane E Mink,2002,Giles,DEM
T  Warren,2001,Dinwiddie,TW
O A Pollard ,2001,Dinwiddie,OAP
J F DAlton ,2001,Dinwiddie,JFD
R W Grubbs,2002,Giles,RWG
C R Gibb,2002,Giles,CRG
D E Mink,2002,Giles,DEM
J C Campbell,2002,Giles,JCC
R M D Turk,2002,Giles,RMDT
T  Warren,2001,Dinwiddie,TW
O A Pollard ,2001,Dinwiddie,OAP
J F DAlton ,2001,Dinwiddie,JFD
R W Grubbs,2001,Giles,RWG
C R Gibb,2001,Giles,CRG
D E Mink,2001,Giles,DEM
J C Campbell,2001,Giles,JCC
R M D Turk,2001,Giles,RMDT
George Mason ,2006,Westmoreland,GM
Harry T Taliaferro ,2006,Westmoreland,HTT
Ann Hunter Simpson,2006,Westmoreland,AHS
John Richard Alderman,2006,Westmoreland,JRA
J Martin Bass,2006,Westmoreland,JMB
H Harrison Braxton ,2006,Westmoreland,HHB
Horace A Revercomb ,2006,Westmoreland,HAR
John W Scott ,2006,Westmoreland,JWS
T  Warren,2001,Dinwiddie,TW
O A Pollard ,2001,Dinwiddie,OAP
J F DAlton ,2001,Dinwiddie,JFD
R W Grubbs,2001,Giles,RWG
C R Gibb,2001,Giles,CRG
D E Mink,2001,Giles,DEM
J C Campbell,2001,Giles,JCC
R M D Turk,2001,Giles,RMDT
Gwynne J Chatham,2004,Westmoreland,GJC
Harry T Taliaferro ,2004,Westmoreland,HTT
Ann Hunter Simpson,2004,Westmoreland,AHS
John Richard Alderman,2004,Westmoreland,JRA
James W Haley ,2004,Westmoreland,JWH
William H Ledbetter ,2004,Westmoreland,WHL
Horace A Revercomb ,2004,Westmoreland,HAR
John W Scott ,2004,Westmoreland,JWS
Dennis Lee Hupp,2006,Warren,DLH
John E Wetsel ,2006,Warren,JEW
John J McGrath ,2006,Warren,JJM
James  Lane,2006,Warren,JL
John R Prosser,2006,Warren,JRP
Harry T Taliaferro ,2007,Westmoreland,HTT
George Mason ,2007,Westmoreland,GM
John Richard Alderman,2007,Westmoreland,JRA
J Martin Bass,2007,Westmoreland,JMB
Horace A Revercomb ,2007,Westmoreland,HAR
John W Scott ,2007,Westmoreland,JWS
Ann Hunter Simpson,2007,Westmoreland,AHS
Gordon F Willis,2007,Westmoreland,GFW
Jennifer R Sims,2004,Warren,JRS
Dennis Lee Hupp,2004,Warren,DLH
John E Wetsel ,2004,Warren,JEW
James  Lane,2004,Warren,JL
John J McGrath ,2004,Warren,JJM
John R Prosser,2004,Warren,JRP
T  Warren,2001,Dinwiddie,TW
O A Pollard ,2001,Dinwiddie,OAP
J F DAlton ,2001,Dinwiddie,JFD
R W Grubbs,2001,Giles,RWG
C R Gibb,2001,Giles,CRG
D E Mink,2001,Giles,DEM
J C Campbell,2001,Giles,JCC
R M D Turk,2001,Giles,RMDT
Gwynne J Chatham,2004,Westmoreland,GJC
Harry T Taliaferro ,2004,Westmoreland,HTT
Ann Hunter Simpson,2004,Westmoreland,AHS
John Richard Alderman,2004,Westmoreland,JRA
James W Haley ,2004,Westmoreland,JWH
William H Ledbetter ,2004,Westmoreland,WHL
Horace A Revercomb ,2004,Westmoreland,HAR
John W Scott ,2004,Westmoreland,JWS
Dennis Lee Hupp,2007,Warren,DLH
John J McGrath ,2007,Warren,JJM
James  Lane,2007,Warren,JL
John R Prosser,2007,Warren,JRP
John E Wetsel ,2007,Warren,JEW
Samuel E Campbell,2006,Sussex,SEC
W Allan Sharrett,2006,Sussex,WAS
Gary M Williams,2005,Sussex,GMW
Samuel E Campbell,2005,Sussex,SEC
W Allan Sharrett,2005,Sussex,WAS
Harry T Taliaferro ,2008,Westmoreland,HTT
J Martin Bass,2008,Westmoreland,JMB
David H Beck,2008,Westmoreland,DHB
Joseph J Ellis,2008,Westmoreland,JJE
J Overton Harris,2008,Westmoreland,JOH
Horace A Revercomb ,2008,Westmoreland,HAR
Gordon F Willis,2008,Westmoreland,GFW
Jennifer R Sims,2004,Warren,JRS
Dennis Lee Hupp,2004,Warren,DLH
John E Wetsel ,2004,Warren,JEW
James  Lane,2004,Warren,JL
John J McGrath ,2004,Warren,JJM
John R Prosser,2004,Warren,JRP
T  Warren,2001,Dinwiddie,TW
O A Pollard ,2001,Dinwiddie,OAP
J F DAlton ,2001,Dinwiddie,JFD
R W Grubbs,2001,Giles,RWG
