Judge,Year,Court
Hon Michael S. Irvine,2005,Courthouse
Hon Gwendolyn J. Jackson,2005,Room 183
Hon Avelina S. Jacob,2005,18 East Market Street
Hon Jerome James,2005,100 St. Paul's Boulevard
Hon Birdie Hairston Jamison,2005,John Marshall Courts Building
Hon Lawrence Janow,2005,P. O. Box 178
Hon C. N. Jenkins Jr.,2005,Oliver Hill Courts Building
Hon Dwight D. Johnson,2005,350 Park Street
Hon Patrick Reynolds Johnson,2005,Main & Walnut Street
Hon Randall G. Johnson,2005,400 North Ninth Street
Hon J. Samuel Johnston Jr.,2005,P. O. Box 7
Hon Bonnie L. Jones,2005,P. O. Box 70
Hon George A. Jones Jr.,2005,Box 695
Hon Thomas O. Jones,2005,John Marshall Courts Building
Hon Barbara Milano Keenan,2005,Supreme Court of Virginia
Hon M. Langhorne Keith,2005,4110 Chain Bridge Road
Hon Elizabeth Kellas,2005,Judicial Center
Hon Thomas J. Kelley Jr.,2005,1425 North Courthouse Road
Hon D. Arthur Kelsey,2005,Court of Appeals of Virginia
Hon Lisa Bondareff Kemler,2005,Judges' Chambers
Hon Benjamin N. A. Kendrick,2005,1425 North Courthouse Road
Hon John C. Kilgore,2005,104 E. Jackson Street
Hon Colleen K. Killilea,2005,5201 Monticello Avenue
Hon Cynthia D. Kinser,2005,Supreme Court of Virginia
Hon Larry B. Kirksey,2005,Courthouse
Hon Stanley P. Klein,2005,4110 Chain Bridge Road
Hon Judith Anne Kline,2005,2501 Huntington Avenue
Hon John E. Kloch,2005,Judges' Chambers
Hon C. Edward Knight III,2005,P. O. Box 70
Hon Lawrence L. Koontz Jr.,2005,Supreme Court of Virginia
Hon Bruce H. Kushner,2005,307 Albemarle Drive
Hon Elizabeth B. Lacy,2005,Supreme Court of Virginia
Hon James V. Lane,2005,Court Square
Hon Robert D. Laney,2005,P. O. Box 144
Hon Joseph A. Leafe,2005,100 St. Paul's Boulevard
Hon William H. Ledbetter Jr.,2005,P.O. Box 1179
Hon Donald W. Lemons,2005,Supreme Court of Virginia
Hon Louis R. Lerner,2005,P. O. Box 40
Hon R. Larry Lewis,2005,P. O. Box 306
