Judge
""
Ms Christine C. Beck
Hon David A. Bell
Ms Judy R. Bell
Hon Jim M. Bevins Jr.
Hon Carol W. Black
Ms Gloria M. Blankenship
Hon James E. Blevins
Ms Sandra Cox Blount
Hon Malcolm Booker Jr.
Ms Donna Coffey Bosserman
Ms Donna Coffey Bosserman
Hon Peggy A. Bostic
Ms Debra C. Bostic
Ms Teresa B. Bowden
Mr Richard H. Bowling
Ms Jane Carter Branson
Ms Brenda C. Brown
Ms Janet L. Brown
Ms Wanda E. Brownlee
Ms Jacqueline Preston Brubaker
Ms Barbara S. Brubaker
Ms Jacqueline Preston Brubaker
Hon Diane Bruce
Ms Michele Joyce Bryant
Ms Debra V. Bull
Ms Kyra Lynn Bullock
Hon Allan C. Burke
Ms Lisa Demaris Burnett
Hon Karen A. Butler
Hon Helen Butts
Ms Marie S. Cagwin
Hon E. E. Callis III
Ms Martha L. Campbell
Hon Ray S. Campbell Jr.
Ms C. Sue Canady
Hon Darlene W. Carpenter
Hon W. R. Carter Jr.
Hon Gwynne J. Chatham
Ms Ellen Taylor Chiasson
Ms Theresa A. Childress
Ms Judith C. Childress
Ms Deborah R. Childress
Ms Monica Arlene Christian
Hon Gail P. Clayton
Hon Gary M. Clemens
Ms S. Lynn Coates
Hon Christopher W. Coleman
Ms Veresia W. Coleman
Hon E. E. Coleman Jr.
Ms Ellen S. Collier
Ms Connie S. Comer
Hon Dollie M. Compton
Hon Robert W. Conner
Ms Heather Dawn Cooper
Hon Samuel H. Cooper Jr.
Ms Cindy S. Cornwell
Hon Wayne M. Cosby
Hon Kathy P. Crane
Hon Chance Crawford
Ms Deborah K. Daughtrey
Hon Rex A. Davis
Hon John B. Davis
Ms Dee Balderson Davis
Ms Patricia Marie Davis
Hon Bevill M. Dean
Hon Bevill M. Dean
Hon Barbara G. Decatur
Ms Edna Sparrer DeChristopher
Ms Nancy P. Derrick
Ms V. Jane Dorton
Ms Ellen K. Douglas
Ms Kelly Anne Douglas
Hon Sue K. Dudley
Hon Marie C. Durrer
Mr Michael Dwayne Edwards
Mr Charles Thomas Elliott
Ms Robin Lynne Elliott
Hon Machelle J. Epps
Hon Gordon F. Erby
Ms Patsy A. Ewell
Hon Stuart B. Fallen
Ms Hilda W. Ferguson
Ms Sue B. Flanagan
Ms Jennifer Watson Flanagan
Ms Sue B. Flanagan
Hon Rosa S. Forrester
Ms Frances M. Fountain
Ms Margaret French
Hon John T. Frey
Ms Lee Anne Fuller
Ms Janet T. Gallaher
Ms Janet T. Gallaher
Hon Paul C. Garrett
Hon Susan C. Gasperini
Hon C. Ann Gentry
Hon Gerald A. Gibson
Ms Melissa B. Gil
Ms Adrian Kellam Glatt
Ms Lisa C. Goga
Ms Sheila F. Gordon
Ms Nora A. Green
Ms Edna S. Griffin
