Judge,Year,Court
"Hon. J. W. Haley, Jr.~",2001,Stafford
"Hon. W. H. Ledbetter, Jr.",2001,Stafford
"Hon. J. E. Spruill, Jr.",2001,Stafford
"Hon. J. W. Scott, Jr.*",2001,Stafford
"Hon. H. A. Revercomb, III",2001,Stafford
Hon. A. H. Simpson~,2001,Stafford
Hon. J. R. Alderman,2001,Stafford
Hon David C. Mabie,2002,Prince William
Hon. William D. Hamblen~*,2002,Prince William
Hon. Rossie D. Alston Jr.~,2002,Prince William
Hon. Leroy Francis Millette Jr.~,2002,Prince William
Hon. Richard Bowen Potter~,2002,Prince William
Hon. Herman A. Whisenant Jr.~,2002,Prince William
Hon Wendell G. Peters,2004,Floyd
Hon. Ray Wilson Grubbs~*,2004,Floyd
Hon. J. Colin Campbell Sr.,2004,Floyd
Hon. Brett L. Geisler,2004,Floyd
Hon. Colin R. Gibb,2004,Floyd
Hon. Robert M. D. Turk,2004,Floyd
Hon Faye W. Mitchell,2004,Chesapeake
Hon. V. Thomas Forehand Jr.~*,2004,Chesapeake
Hon. Frederick Hillary Creekmore Sr.~,2004,Chesapeake
Hon. Samuel Bernard Goodwyn~,2004,Chesapeake
Hon. Bruce H. Kushner~,2004,Chesapeake
Hon Rebecca P. Hogan,2004,Frederick
Hon. John R. Prosser~,2004,Frederick
Hon. Dennis Lee Hupp*,2004,Frederick
Hon. James V. Lane,2004,Frederick
Hon. John J. McGrath Jr.,2004,Frederick
Hon. John E. Wetsel Jr.,2004,Frederick
Hon Gerald A. Gibson,2003,Danville
Hon. Joseph W. Milam Jr.~,2003,Danville
Hon. William N. Alexander II*,2003,Danville
Hon. Charles J. Strauss,2003,Danville
Hon Frank D. Hargrove Jr.,2004,Hanover
Hon. John Richard Alderman~*,2004,Hanover
Hon. James W. Haley Jr.,2004,Hanover
Hon. William H. Ledbetter Jr.,2004,Hanover
Hon. Horace A. Revercomb III,2004,Hanover
Hon. John Whittier Scott Jr.,2004,Hanover
Hon. Ann Hunter Simpson,2004,Hanover
Hon. Harry T. Taliaferro III,2004,Hanover
Hon Yvonne G. Smith,2003,Henrico
Hon. Lee A. Harris Jr.~*,2003,Henrico
Hon. Catherine C. Hammond~,2003,Henrico
Hon. Gary A. Hicks~,2003,Henrico
Hon. George F. Tidey~,2003,Henrico
Hon L. Wayne Harper,2003,Rockingham
Hon. James V. Lane~,2003,Rockingham
Hon. Dennis Lee Hupp*,2003,Rockingham
Hon. John J. McGrath Jr.,2003,Rockingham
Hon. John R. Prosser,2003,Rockingham
Hon. John E. Wetsel Jr.,2003,Rockingham
Hon A. B. Crush III,2003,Roanoke City
Hon. Jonathan M. Apgar~,2003,Roanoke City
Hon. Robert P. Doherty Jr.~,2003,Roanoke City
Hon. Clifford R. Weckstein~,2003,Roanoke City
Hon. Richard Chapman Pattisall*,2003,Roanoke City
Hon. Diane McQ. Strickland,2003,Roanoke City
Hon. James R. Swanson,2003,Roanoke City
Hon Steven A. McGraw,2004,Roanoke County
Hon. Robert P. Doherty Jr.~,2004,Roanoke County
Hon. Jonathan M. Apgar*,2004,Roanoke County
Hon. William D. Broadhurst,2004,Roanoke County
Hon. Charles N. Dorsey,2004,Roanoke County
Hon. James R. Swanson,2004,Roanoke County
Hon. Clifford R. Weckstein,2004,Roanoke County
"Hon Mark A. ""Bo"" Taylor",2003,Scott
Hon. J. Robert Stump*,2003,Scott
Hon. Ford C. Quillen,2003,Scott
Hon. Birg E. Sergent,2003,Scott
Hon. Malfourd W.  Bo Trumbo~,2006,Alleghany Circuit Court
Hon. Thomas H. Wood*,2006,Alleghany Circuit Court
Hon. Humes J. Franklin Jr.,2006,Alleghany Circuit Court
Hon. Michael S. Irvine,2006,Alleghany Circuit Court
Hon Gail H. Barb,2003,Fauquier
Hon. Jeffrey W. Parker~,2003,Fauquier
Hon. Thomas D. Horne*,2003,Fauquier
Hon. James H. Chamblin,2003,Fauquier
Hon. Burke F. McCahill,2003,Fauquier
Hon Terry G. Rohr,2004,Bristol
Hon. C. Randall Lowe*,2004,Bristol
Hon. Larry B. Kirksey,2004,Bristol
Hon. William T. Newman Jr.~*,2006,Arlington Circuit Court
Hon. James F. Almand~,2006,Arlington Circuit Court
Hon. Joanne F. Alper~,2006,Arlington Circuit Court
Hon. Benjamin N. A. Kendrick~,2006,Arlington Circuit Court
Hon Barbara G. Decatur,2002,Stafford
Hon. James W. Haley Jr.~,2002,Stafford
Hon. Ann Hunter Simpson~,2002,Stafford
Hon. Horace A. Revercomb III*,2002,Stafford
Hon. John Richard Alderman,2002,Stafford
Hon. William H. Ledbetter Jr.,2002,Stafford
Hon. John Whittier Scott Jr.,2002,Stafford
Hon. Harry T. Taliaferro III,2002,Stafford
Hon David C. Mabie,2003,Prince William
Hon. William D. Hamblen~*,2003,Prince William
Hon. Rossie D. Alston Jr.~,2003,Prince William
Hon. Leroy Francis Millette Jr.~,2003,Prince William
Hon. Richard Bowen Potter~,2003,Prince William
Hon. Herman A. Whisenant Jr.~,2003,Prince William
"Hon. Ray Wilson Grubbs, Presiding Judge",2010,Floyd Circuit Court
"Hon. Colin R. Gibb, Chief Judge",2010,Floyd Circuit Court
Hon. Brett L. Geisler,2010,Floyd Circuit Court
Hon. Josiah T. Showalter Jr.,2010,Floyd Circuit Court
Hon. Robert M. D. Turk,2010,Floyd Circuit Court
Hon. V. Thomas Forehand Jr.~*,2006,Chesapeake Circuit Court
Hon. Frederick H. Creekmore Sr.~,2006,Chesapeake Circuit Court
Hon. S. Bernard Goodwyn~,2006,Chesapeake Circuit Court
Hon. Bruce H. Kushner~,2006,Chesapeake Circuit Court
Hon. Randall D. Smith~,2006,Chesapeake Circuit Court
"Hon. John R. Prosser, Presiding Judge, Chief Judge",2009,Frederick Circuit Court
Hon. Dennis Lee Hupp,2009,Frederick Circuit Court
Hon. James V. Lane,2009,Frederick Circuit Court
Hon. John E. Wetsel Jr.,2009,Frederick Circuit Court
Hon. Thomas J. Wilson IV,2009,Frederick Circuit Court
Hon Gerald A. Gibson,2004,Danville
Hon. Joseph W. Milam Jr.~,2004,Danville
Hon. Charles J. Strauss*,2004,Danville
Hon. William N. Alexander II,2004,Danville
Hon Bevill M. Dean,2002,Richmond
Hon. Margaret Poles Spencer~*,2002,Richmond
Hon. Melvin R. Hughes Jr.~,2002,Richmond
Hon. Randall Garnet Johnson~,2002,Richmond
Hon. Theodore J. Markow~,2002,Richmond
Hon. Beverly W. Snukals~,2002,Richmond
Hon. Walter W. Stout III~,2002,Richmond
Hon. Richard D. Taylor Jr.,2002,Richmond
Hon Yvonne G. Smith,2004,Henrico
Hon. Catherine C. Hammond~*,2004,Henrico
Hon. Lee A. Harris Jr.~,2004,Henrico
Hon. Gary A. Hicks~,2004,Henrico
Hon. Daniel T. Balfour,2004,Henrico
Hon L. Wayne Harper,2004,Rockingham
Hon. James V. Lane~,2004,Rockingham
Hon. Dennis Lee Hupp*,2004,Rockingham
Hon. John J. McGrath Jr.,2004,Rockingham
Hon. John R. Prosser,2004,Rockingham
Hon. John E. Wetsel Jr.,2004,Rockingham
Hon. Harry T. Taliaferro III*,2008,Hanover Circuit Court
Hon. J. Martin Bass,2008,Hanover Circuit Court
Hon. David H. Beck,2008,Hanover Circuit Court
Hon. Horace A. Revercomb III,2008,Hanover Circuit Court
Hon. John W. Scott Jr.,2008,Hanover Circuit Court
Hon. Gordon F. Willis,2008,Hanover Circuit Court
Hon Brenda S. Hamilton,2004,Roanoke City
Hon. Jonathan M. Apgar~*,2004,Roanoke City
Hon. Robert P. Doherty Jr.~,2004,Roanoke City
Hon. Clifford R. Weckstein~,2004,Roanoke City
Hon. William D. Broadhurst,2004,Roanoke City
Hon. Charles N. Dorsey,2004,Roanoke City
Hon. James R. Swanson,2004,Roanoke City
Hon Denise F. Barb,2003,Shenandoah
Hon. Dennis Lee Hupp~,2003,Shenandoah
Hon. John E. Wetsel Jr.*,2003,Shenandoah
Hon. James V. Lane,2003,Shenandoah
Hon. John J. McGrath Jr.,2003,Shenandoah
Hon. John R. Prosser,2003,Shenandoah
Hon. Malfourd W.  Bo Trumbo~,2007,Alleghany Circuit Court
Hon. Thomas H. Wood*,2007,Alleghany Circuit Court
Hon. Humes J. Franklin Jr.,2007,Alleghany Circuit Court
Hon. Michael S. Irvine,2007,Alleghany Circuit Court
Hon Gail H. Barb,2004,Fauquier
Hon. Jeffrey W. Parker~,2004,Fauquier
Hon. James H. Chamblin*,2004,Fauquier
Hon. Thomas D. Horne,2004,Fauquier
Hon. Burke F. McCahill,2004,Fauquier
Hon. Larry B. Kirksey~,2006,Bristol Circuit Court
Hon. C. Randall Lowe*,2006,Bristol Circuit Court
Hon. Isaac St. C. Freeman,2006,Bristol Circuit Court
Hon. William T. Newman Jr.~*,2008,Arlington Circuit Court
Hon. James F. Almand~,2008,Arlington Circuit Court
Hon. Joanne F. Alper~,2008,Arlington Circuit Court
Hon. Benjamin N. A. Kendrick~,2008,Arlington Circuit Court
Hon Barbara G. Decatur,2003,Stafford
Hon. James W. Haley Jr.~,2003,Stafford
Hon. Ann Hunter Simpson~,2003,Stafford
Hon. John Richard Alderman*,2003,Stafford
Hon. William H. Ledbetter Jr.,2003,Stafford
Hon. Horace A. Revercomb III,2003,Stafford
Hon. John Whittier Scott Jr.,2003,Stafford
Hon. Harry T. Taliaferro III,2003,Stafford
Hon David C. Mabie,2004,Prince William
Hon. Richard Bowen Potter~*,2004,Prince William
Hon. Rossie D. Alston Jr.~,2004,Prince William
Hon. William D. Hamblen~,2004,Prince William
Hon. Leroy Francis Millette Jr.~,2004,Prince William
Hon. Lon Edward Farris,2004,Prince William
Hon. V. Thomas Forehand Jr.~*,2007,Chesapeake Circuit Court
Hon. Frederick H. Creekmore Sr.~,2007,Chesapeake Circuit Court
Hon. Bruce H. Kushner~,2007,Chesapeake Circuit Court
Hon. Randall D. Smith~,2007,Chesapeake Circuit Court
"Hon. Colin R. Gibb, Chief Judge",2011,Floyd Circuit Court
Hon. Brett L. Geisler,2011,Floyd Circuit Court
Hon. Josiah T. Showalter Jr.,2011,Floyd Circuit Court
Hon. Robert M. D. Turk,2011,Floyd Circuit Court
Hon Mark A. (Bo) Taylor,2004,Scott
Hon. John C. Kilgore~,2004,Scott
Hon. J. Robert Stump*,2004,Scott
Hon. Birg E. Sergent,2004,Scott
Hon. Joseph W. Milam Jr.~,2005,Danville Circuit Court
Hon. William N. Alexander II*,2005,Danville Circuit Court
Hon. David A. Melesco,2005,Danville Circuit Court
Hon. Charles J. Strauss,2005,Danville Circuit Court
Hon. Gary A. Hicks~*,2006,Henrico Circuit Court
Hon. Daniel T. Balfour~,2006,Henrico Circuit Court
Hon. Catherine C. Hammond~,2006,Henrico Circuit Court
Hon. Lee A. Harris Jr.~,2006,Henrico Circuit Court
Hon. Burnett Miller III~,2006,Henrico Circuit Court
Hon Bevill M. Dean,2004,Richmond
Hon. Melvin R. Hughes Jr.~*,2004,Richmond
Hon. Bradley B. Cavedo~,2004,Richmond
Hon. Randall G. Johnson~,2004,Richmond
Hon. Theodore J. Markow~,2004,Richmond
Hon. Beverly W. Snukals~,2004,Richmond
Hon. Margaret Poles Spencer~,2004,Richmond
Hon. Walter W. Stout III~,2004,Richmond
Hon. Richard D. Taylor Jr.~,2004,Richmond
Hon. Jonathan M. Apgar~,2006,Roanoke City Circuit Court
Hon. William D. Broadhurst~,2006,Roanoke City Circuit Court
Hon. Charles N. Dorsey~,2006,Roanoke City Circuit Court
Hon. Clifford R. Weckstein~,2006,Roanoke City Circuit Court
Hon. James R. Swanson*,2006,Roanoke City Circuit Court
Hon. Robert P. Doherty Jr.,2006,Roanoke City Circuit Court
Hon. James V. Lane~,2009,Rockingham Circuit Court
Hon. Thomas J. Wilson IV~,2009,Rockingham Circuit Court
Hon. John R. Prosser*,2009,Rockingham Circuit Court
Hon. Dennis Lee Hupp,2009,Rockingham Circuit Court
Hon. John E. Wetsel Jr.,2009,Rockingham Circuit Court
"Hon. John R. Prosser, Presiding Judge",2011,Frederick Circuit Court
"Hon. James V. Lane, Chief Judge",2011,Frederick Circuit Court
Hon. Dennis Lee Hupp,2011,Frederick Circuit Court
Hon. John E. Wetsel Jr.,2011,Frederick Circuit Court
Hon. Thomas J. Wilson IV,2011,Frederick Circuit Court
"Hon. J. Overton Harris, Presiding Judge",2009,Hanover Circuit Court
"Hon. J. Martin Bass, Chief Judge",2009,Hanover Circuit Court
Hon. David H. Beck,2009,Hanover Circuit Court
Hon. Joseph J. Ellis,2009,Hanover Circuit Court
Hon. Horace A. Revercomb III,2009,Hanover Circuit Court
Hon. Charles S. Sharp,2009,Hanover Circuit Court
Hon. Harry T. Taliaferro III,2009,Hanover Circuit Court
Hon. Gordon F. Willis,2009,Hanover Circuit Court
Hon Denise F. Barb,2004,Shenandoah
Hon. Dennis Lee Hupp~*,2004,Shenandoah
Hon. James V. Lane,2004,Shenandoah
Hon. John J. McGrath Jr.,2004,Shenandoah
Hon. John R. Prosser,2004,Shenandoah
Hon. John E. Wetsel Jr.,2004,Shenandoah
Hon. Malfourd W. Bo Trumbo~,2008,Alleghany Circuit Court
Hon. Humes J. Franklin Jr.*,2008,Alleghany Circuit Court
Hon. Michael S. Irvine,2008,Alleghany Circuit Court
Hon. Victor V. Ludwig,2008,Alleghany Circuit Court
Hon. Jeffrey W. Parker~*,2008,Fauquier Circuit Court
Hon. James H. Chamblin,2008,Fauquier Circuit Court
Hon. Thomas D. Horne,2008,Fauquier Circuit Court
Hon. Burke F. McCahill,2008,Fauquier Circuit Court
Hon. William T. Newman Jr.~*,2009,Arlington Circuit Court
Hon. James F. Almand~,2009,Arlington Circuit Court
Hon. Joanne F. Alper~,2009,Arlington Circuit Court
Hon. Benjamin N. A. Kendrick~,2009,Arlington Circuit Court
Hon Barbara G. Decatur,2004,Stafford
Hon. Ann Hunter Simpson~*,2004,Stafford
Hon. James W. Haley Jr.~,2004,Stafford
Hon. John Richard Alderman,2004,Stafford
Hon. William H. Ledbetter Jr.,2004,Stafford
Hon. Horace A. Revercomb III,2004,Stafford
Hon. John W. Scott Jr.,2004,Stafford
Hon. Harry T. Taliaferro III,2004,Stafford
Hon. Larry B. Kirksey~,2007,Bristol Circuit Court
Hon. C. Randall Lowe*,2007,Bristol Circuit Court
Hon. Isaac St. C. Freeman,2007,Bristol Circuit Court
Hon. Richard Bowen Potter~*,2006,Prince William Circuit Court
Hon. Rossie D. Alston Jr.~,2006,Prince William Circuit Court
Hon. Lon Edward Farris~,2006,Prince William Circuit Court
Hon. William D. Hamblen~,2006,Prince William Circuit Court
Hon. Leroy Francis Millette Jr.~,2006,Prince William Circuit Court
"Hon. Robert P. Doherty Jr., Presiding Judge",2009,Roanoke County Circuit Court
"Hon. James R. Swanson, Presiding Judge",2009,Roanoke County Circuit Court
"Hon. Charles N. Dorsey, Chief Judge",2009,Roanoke County Circuit Court
Hon. Jonathan M. Apgar,2009,Roanoke County Circuit Court
Hon. William D. Broadhurst,2009,Roanoke County Circuit Court
Hon. Clifford R. Weckstein,2009,Roanoke County Circuit Court
"Hon. V. Thomas Forehand Jr., Presiding Judge, Chief Judge",2009,Chesapeake Circuit Court
"Hon. Marjorie T. Arrington, Presiding Judge",2009,Chesapeake Circuit Court
"Hon. John W. Brown, Presiding Judge",2009,Chesapeake Circuit Court
"Hon. Bruce H. Kushner, Presiding Judge",2009,Chesapeake Circuit Court
"Hon. Randall D. Smith, Presiding Judge",2009,Chesapeake Circuit Court
Hon. John C. Kilgore~,2005,Scott Circuit Court
Hon. Birg E. Sergent*,2005,Scott Circuit Court
Hon. Tammy S. McElyea,2005,Scott Circuit Court
Hon. Joseph W. Milam Jr.~,2008,Danville Circuit Court
Hon. Charles J. Strauss*,2008,Danville Circuit Court
Hon. William N. Alexander II,2008,Danville Circuit Court
Hon. David A. Melesco,2008,Danville Circuit Court
Hon. Gary A. Hicks~*,2007,Henrico Circuit Court
Hon. Daniel T. Balfour~,2007,Henrico Circuit Court
Hon. Catherine C. Hammond~,2007,Henrico Circuit Court
Hon. Lee A. Harris Jr.~,2007,Henrico Circuit Court
Hon. Burnett Miller III~,2007,Henrico Circuit Court
Hon Bevill M. Dean,2005,Richmond
Hon. Theodore J. Markow~*,2005,Richmond
Hon. Bradley B. Cavedo~,2005,Richmond
Hon. Melvin R. Hughes Jr.~,2005,Richmond
Hon. Randall G. Johnson~,2005,Richmond
Hon. Beverly W. Snukals~,2005,Richmond
Hon. Margaret Poles Spencer~,2005,Richmond
Hon. Walter W. Stout III~,2005,Richmond
Hon. Richard D. Taylor Jr.,2005,Richmond
Hon. Charles N. Dorsey~*,2009,Roanoke City Circuit Court
Hon. Jonathan M. Apgar~,2009,Roanoke City Circuit Court
Hon. William D. Broadhurst~,2009,Roanoke City Circuit Court
Hon. Clifford R. Weckstein~,2009,Roanoke City Circuit Court
